"File","Signature","Contribution"
"7316-1085.vcf.gz","SBS1",352981.416490957
"7316-1085.vcf.gz","SBS2",11362.5492138938
"7316-1085.vcf.gz","SBS3",0
"7316-1085.vcf.gz","SBS4",0
"7316-1085.vcf.gz","SBS5",2208390.28070236
"7316-1085.vcf.gz","SBS6",0
"7316-1085.vcf.gz","SBS7a",0
"7316-1085.vcf.gz","SBS7b",0
"7316-1085.vcf.gz","SBS7c",9529.89967403663
"7316-1085.vcf.gz","SBS7d",0
"7316-1085.vcf.gz","SBS8",0
"7316-1085.vcf.gz","SBS9",71745.2751441791
"7316-1085.vcf.gz","SBS10a",0
"7316-1085.vcf.gz","SBS10b",0
"7316-1085.vcf.gz","SBS10c",0
"7316-1085.vcf.gz","SBS10d",0
"7316-1085.vcf.gz","SBS11",0
"7316-1085.vcf.gz","SBS12",0
"7316-1085.vcf.gz","SBS13",0
"7316-1085.vcf.gz","SBS14",0
"7316-1085.vcf.gz","SBS15",0
"7316-1085.vcf.gz","SBS16",0
"7316-1085.vcf.gz","SBS17a",26615.5350620445
"7316-1085.vcf.gz","SBS17b",0
"7316-1085.vcf.gz","SBS18",0
"7316-1085.vcf.gz","SBS19",46814.1582497877
"7316-1085.vcf.gz","SBS20",13082.7271847102
"7316-1085.vcf.gz","SBS21",0
"7316-1085.vcf.gz","SBS22",0
"7316-1085.vcf.gz","SBS23",0
"7316-1085.vcf.gz","SBS24",0
"7316-1085.vcf.gz","SBS25",0
"7316-1085.vcf.gz","SBS26",471582.128811948
"7316-1085.vcf.gz","SBS28",7525.80588074304
"7316-1085.vcf.gz","SBS29",0
"7316-1085.vcf.gz","SBS30",0
"7316-1085.vcf.gz","SBS31",0
"7316-1085.vcf.gz","SBS32",219876.925502828
"7316-1085.vcf.gz","SBS33",128111.507245235
"7316-1085.vcf.gz","SBS34",27732.8491155435
"7316-1085.vcf.gz","SBS35",0
"7316-1085.vcf.gz","SBS36",0
"7316-1085.vcf.gz","SBS37",25622.8837259488
"7316-1085.vcf.gz","SBS38",0
"7316-1085.vcf.gz","SBS39",90279.3434794084
"7316-1085.vcf.gz","SBS40",0
"7316-1085.vcf.gz","SBS41",0
"7316-1085.vcf.gz","SBS42",0
"7316-1085.vcf.gz","SBS44",0
"7316-1085.vcf.gz","SBS84",0
"7316-1085.vcf.gz","SBS85",0
"7316-1085.vcf.gz","SBS86",0
"7316-1085.vcf.gz","SBS87",89866.147914727
"7316-1085.vcf.gz","SBS88",0
"7316-1085.vcf.gz","SBS89",223556.81660924
"7316-1085.vcf.gz","SBS90",586.488243484994
"7316-1085.vcf.gz","SBS91",0
"7316-1085.vcf.gz","SBS92",0
"7316-1085.vcf.gz","SBS93",0
"7316-1085.vcf.gz","SBS94",0
"File","Signature","Contribution"
"7316-1099.vcf.gz","SBS1",355738.148129561
"7316-1099.vcf.gz","SBS2",13108.8286004134
"7316-1099.vcf.gz","SBS3",0
"7316-1099.vcf.gz","SBS4",0
"7316-1099.vcf.gz","SBS5",2211441.55973553
"7316-1099.vcf.gz","SBS6",0
"7316-1099.vcf.gz","SBS7a",0
"7316-1099.vcf.gz","SBS7b",0
"7316-1099.vcf.gz","SBS7c",7506.82608845521
"7316-1099.vcf.gz","SBS7d",0
"7316-1099.vcf.gz","SBS8",0
"7316-1099.vcf.gz","SBS9",66647.7041939751
"7316-1099.vcf.gz","SBS10a",0
"7316-1099.vcf.gz","SBS10b",0
"7316-1099.vcf.gz","SBS10c",0
"7316-1099.vcf.gz","SBS10d",0
"7316-1099.vcf.gz","SBS11",0
"7316-1099.vcf.gz","SBS12",0
"7316-1099.vcf.gz","SBS13",0
"7316-1099.vcf.gz","SBS14",0
"7316-1099.vcf.gz","SBS15",0
"7316-1099.vcf.gz","SBS16",0
"7316-1099.vcf.gz","SBS17a",29650.5524068114
"7316-1099.vcf.gz","SBS17b",0
"7316-1099.vcf.gz","SBS18",0
"7316-1099.vcf.gz","SBS19",49099.7448952939
"7316-1099.vcf.gz","SBS20",12301.9820687832
"7316-1099.vcf.gz","SBS21",0
"7316-1099.vcf.gz","SBS22",0
"7316-1099.vcf.gz","SBS23",0
"7316-1099.vcf.gz","SBS24",0
"7316-1099.vcf.gz","SBS25",0
"7316-1099.vcf.gz","SBS26",473666.315553097
"7316-1099.vcf.gz","SBS28",8453.04445967797
"7316-1099.vcf.gz","SBS29",0
"7316-1099.vcf.gz","SBS30",0
"7316-1099.vcf.gz","SBS31",0
"7316-1099.vcf.gz","SBS32",221572.801664033
"7316-1099.vcf.gz","SBS33",129075.956668599
"7316-1099.vcf.gz","SBS34",27407.1883833613
"7316-1099.vcf.gz","SBS35",0
"7316-1099.vcf.gz","SBS36",0
"7316-1099.vcf.gz","SBS37",23286.6323427499
"7316-1099.vcf.gz","SBS38",0
"7316-1099.vcf.gz","SBS39",87536.7743765415
"7316-1099.vcf.gz","SBS40",0
"7316-1099.vcf.gz","SBS41",0
"7316-1099.vcf.gz","SBS42",0
